Motif,cell_ids
"['AUD', 'PTL', 'VIS', 'RSC']","[13, 15, 25, 46, 79, 80, 107, 118, 123, 132, 139, 153, 156, 171, 182, 191, 200, 201, 206, 222, 225, 230, 240, 241, 259, 272, 291, 292, 293, 307, 360, 362, 364, 383, 384, 386, 402, 433, 436, 443, 444, 469, 492, 499, 502, 509, 512, 540, 541, 556, 564, 575, 579, 601, 614, 623, 649, 651, 664, 671, 677, 680, 686, 688, 701, 703, 826, 903, 919, 1000, 1072, 1103, 1175, 1224, 1391, 1430, 1431, 1445, 1451, 1469, 1477, 1489, 1493, 1509, 1528, 1531, 1569, 1722, 1752, 1754, 1778, 1786, 1793, 1823, 1886, 1960, 2002, 2005, 2022, 2034, 2065, 2089, 2103, 2105, 2109, 2119, 2140, 2172, 2201, 2205, 2210, 2219, 2231, 2253, 2282, 2291, 2309, 2328, 2346, 2406, 2434, 2440, 2544, 2581, 2592, 2664, 2769, 2775, 2777, 2787, 2805, 2826, 2839, 2865, 2869, 2876, 2907, 2953, 2960, 2987]"
"['ACA', 'PTL', 'VIS', 'RSC']","[53, 202, 511, 1441, 2093, 2359, 2844, 2961]"
"['PFC', 'ORB', 'SS', 'AUD', 'ACA']","[247, 581, 676, 1317, 1557, 2444, 2512]"
"['PFC', 'ORB', 'SS', 'AUD', 'PTL']","[707, 844, 1060, 1141]"
"['PFC', 'ORB', 'SS', 'AUD', 'VIS']","[264, 713, 716, 718, 876, 1154, 1212, 1311, 1766, 1826, 1938, 1950, 1964, 2083, 2191, 2200, 2353, 2364, 2463, 2570, 2954]"
"['PFC', 'ORB', 'SS', 'AUD', 'RSC']",[1328]
"['PFC', 'ORB', 'SS', 'ACA', 'VIS']","[309, 744, 1815, 2576]"
"['PFC', 'ORB', 'SS', 'ACA', 'RSC']","[180, 1219, 1320]"
"['PFC', 'ORB', 'SS', 'PTL', 'VIS']","[767, 1001, 1409, 2299, 2556, 2577]"
"['PFC', 'ORB', 'SS', 'PTL', 'RSC']","[1277, 2370]"
"['PFC', 'ORB', 'SS', 'VIS', 'RSC']","[1148, 2992, 2994]"
"['PFC', 'ORB', 'AUD', 'ACA', 'VIS']","[273, 587, 980, 1055, 1268, 1377, 1434, 1499, 1533, 1620, 1769, 1873, 2009, 2115, 2121, 2248, 2547, 2829]"
