"PFC","ORB","MO","SS","AUD","ACA","PTL","VIS","RSC","brain"
27.8709677419355,33.9692307692308,3.84,14.1016949152542,37.4237288135593,0,0,1.536,0,"two"
6.19354838709677,7.38461538461539,0,0,0,0,0,0,0,"two"
24.7741935483871,17.7230769230769,0,0,0,0,0,0,0,"two"
0,1.47692307692308,0,0,6.50847457627119,0,0,1.536,0,"two"
21.6774193548387,4.43076923076923,0,0,0,0,0,0,0,"two"
27.8709677419355,10.3384615384615,0,0,0,0,0,0,0,"two"
3.09677419354839,7.38461538461539,0,0,0,0,0,0,0,"two"
0,0,0,1.08474576271186,42.3050847457627,0,0,1.536,0,"two"
0,0,0,9.76271186440678,6.50847457627119,0,3.91836734693878,10.752,7.11111111111111,"two"
27.8709677419355,2.95384615384615,0,1.08474576271186,0,0,0,3.072,0,"two"
3.09677419354839,7.38461538461539,0,9.76271186440678,37.4237288135593,2.56,0,0,0,"two"
30.9677419354839,11.8153846153846,38.4,5.42372881355932,0,2.56,7.83673469387755,0,0,"two"
18.5806451612903,11.8153846153846,0,0,0,0,0,0,0,"two"
3.09677419354839,5.90769230769231,1.92,3.25423728813559,6.50847457627119,0,0,1.536,0,"two"
21.6774193548387,1.47692307692308,0,0,0,0,0,0,0,"two"
12.3870967741935,1.47692307692308,0,0,0,0,0,0,0,"two"
0,13.2923076923077,0,0,0,0,0,0,0,"two"
18.5806451612903,1.47692307692308,9.6,0,0,2.56,0,0,0,"two"
0,4.43076923076923,0,6.50847457627119,0,0,0,0,0,"two"
12.3870967741935,1.47692307692308,0,2.16949152542373,8.13559322033898,0,0,0,0,"two"
18.5806451612903,2.95384615384615,1.92,0,0,7.68,0,0,0,"two"
15.4838709677419,2.95384615384615,0,0,0,0,0,0,0,"two"
0,0,0,11.9322033898305,11.3898305084746,0,0,4.608,0,"two"
21.6774193548387,1.47692307692308,0,0,0,0,0,0,0,"two"
34.0645161290323,1.47692307692308,0,0,0,0,0,0,0,"two"
55.741935483871,1.47692307692308,11.52,5.42372881355932,4.88135593220339,7.68,7.83673469387755,6.144,12.4444444444444,"two"
12.3870967741935,2.95384615384615,0,0,0,5.12,0,0,0,"two"
34.0645161290323,7.38461538461539,13.44,0,0,0,0,0,0,"two"
24.7741935483871,11.8153846153846,32.64,8.67796610169492,22.7796610169492,0,0,0,0,"two"
21.6774193548387,4.43076923076923,0,2.16949152542373,0,0,0,0,0,"two"
30.9677419354839,33.9692307692308,0,0,0,0,0,0,0,"two"
34.0645161290323,2.95384615384615,0,0,0,0,0,0,0,"two"
0,0,1.92,8.67796610169492,0,0,3.91836734693878,0,0,"two"
34.0645161290323,5.90769230769231,0,121.491525423729,3.25423728813559,2.56,15.6734693877551,1.536,0,"two"
6.19354838709677,2.95384615384615,7.68,0,0,0,0,0,0,"two"
