"OFC","Motor","Rstr","SSctx","Cstr","Amyg","VisIp","VisC","AudC","Thal","Tect"
0,0,0,0,43.2941176470588,14.5742574257426,0,0,110.4,0,0
0,0,0,0,154.621848739496,9.10891089108911,0,7.24409448818898,670.45,0,0
0,0,0,0,0,0,0,0,0,80.2051282051282,24.1311475409836
0,0,0,0,0,12.7524752475248,1,5.79527559055118,103.5,1.57264957264957,0
0,0,0,0,0,0,0,0,67.85,0,0
0,0,0,0,0,0,26,0,0,0,0
0,0,0,0,0,0,0,0,0,261.059829059829,70.3825136612022
0,0,0,0,0,0,11,0,0,0,0
0,0,0,0,27.8319327731092,0,5,0,74.75,0,0
0,0,0,118.4,0,0,38,0,0,0,0
0,0,0,0,0,0,0,0,0,283.076923076923,0
0,0,0,0,0,0,0,0,0,251.623931623932,0
0,0,0,0,0,40.0792079207921,11,11.5905511811024,141.45,0,0
0,0,0,0,0,0,0,0,0,581.880341880342,0
0,0,0,139.2,0,0,58,0,0,0,0
0,0,0,0,0,0,0,0,0,161.982905982906,0
0,0,0,0,0,7.28712871287129,0,0,0,50.3247863247863,0
0,0,0,0,0,7.28712871287129,1,0,29.9,0,0
0,0,0,0,3.09243697478992,20.039603960396,0,0,162.15,1.57264957264957,0
0,0,0,0,0,0,0,0,12.65,0,0
0,0,0,0,12.3697478991597,0,5,0,327.75,0,0
0,0,0,0,15.4621848739496,10.9306930693069,1,0,21.85,0,0
0,0,0,0,0,1.82178217821782,0,0,41.4,0,0
0,0,0,0,0,3.64356435643564,0,0,48.3,0,0
0,0,0,0,0,0,2,0,49.45,0,0
0,0,0,0,0,47.3663366336634,1,0,3.45,0,0
0,0,0,0,0,0,3,0,81.65,0,0
0,0,0,0,43.2941176470588,1.82178217821782,50,0,55.2,0,0
0,0,0,0,0,32.7920792079208,16,0,77.05,0,6.0327868852459
0,0,0,0,0,0,0,0,46,0,0
0,0,0,0,3.09243697478992,10.9306930693069,3,0,180.55,0,0
0,2.28571428571429,0,11.2,12.3697478991597,58.2970297029703,0,0,79.35,0,0
0,0,0,0,77.3109243697479,14.5742574257426,0,0,124.2,0,0
0,0,0,0,77.3109243697479,14.5742574257426,0,0,124.2,0,0
0,0,0,0,12.3697478991597,81.980198019802,0,0,0,0,0
0,0,0,0,12.3697478991597,56.4752475247525,0,7.24409448818898,147.2,0,0
0,0,0,0,0,0,0,0,0,44.034188034188,20.1092896174863
0,0,0,0,0,0,0,0,0,600.752136752137,176.96174863388
0,0,4.32941176470588,0,30.9243697478992,27.3267326732673,1,14.488188976378,147.2,0,0
0,0,0,0,0,0,0,0,0,721.846153846154,154.841530054645
0,0,0,0,0,0,0,0,1.15,1316.30769230769,929.049180327869
0,0,0,0,3.09243697478992,0,0,0,2.3,1264.41025641026,697.792349726776
0,0,0,0,0,9.10891089108911,6,0,157.55,0,0
0,0,0,0,154.621848739496,9.10891089108911,0,7.24409448818898,670.45,0,0
0,0,0,0,0,0,0,0,0,182.42735042735,0
0,0,0,0,0,0,0,0,0,182.42735042735,0
0,0,0,0,0,0,0,0,0,297.230769230769,0
0,0,0,0,0,0,0,0,0,103.794871794872,0
0,0,0,0,9.27731092436975,10.9306930693069,0,2.89763779527559,52.9,0,0
0,0,0,0,15.4621848739496,1.82178217821782,5,0,72.45,0,0
0,0,0,0,0,0,0,0,19.55,0,0
0,0,0,0,0,20.039603960396,1,0,34.5,0,0
0,0,0,0,46.3865546218487,0,1,0,21.85,0,0
0,0,0,0,0,0,0,1.4488188976378,14.95,0,0
0,0,0,0,30.9243697478992,34.6138613861386,4,1.4488188976378,227.7,0,0
0,0,6.49411764705882,0,71.1260504201681,23.6831683168317,66,0,0,0,0
0,0,43.2941176470588,0,46.3865546218487,20.039603960396,1,0,8.05,0,0
0,0,0,0,129.882352941176,7.28712871287129,0,0,35.65,0,0
0,0,0,0,6.18487394957983,1.82178217821782,0,0,56.35,0,0
0,0,0,0,49.4789915966387,45.5445544554455,3,0,136.85,0,0
0,0,0,0,0,0,4,0,54.05,0,0
0,0,0,0,37.109243697479,1.82178217821782,0,0,0,0,0
0,0,0,0,3.09243697478992,0,0,0,81.65,0,0
0,0,0,0,0,0,0,0,16.1,0,0
0,0,0,0,30.9243697478992,3.64356435643564,68,0,0,1.57264957264957,0
0,0,0,1.6,40.2016806722689,0,5,1.4488188976378,54.05,0,0
0,0,0,0,27.8319327731092,5.46534653465346,69,0,28.75,0,0
1.08554572271386,2.28571428571429,0,8,117.512605042017,16.3960396039604,92,1.4488188976378,221.95,99.0769230769231,8.04371584699454
0,0,0,0,0,1.82178217821782,0,0,0,1004.92307692308,430.338797814208
0,0,43.2941176470588,0,46.3865546218487,20.039603960396,1,0,8.05,0,0
0,0,6.49411764705882,0,71.1260504201681,23.6831683168317,66,0,0,0,0
0,0,0,0,30.9243697478992,34.6138613861386,4,1.4488188976378,227.7,0,0
0,0,19.4823529411765,9.6,105.142857142857,0,11,0,43.7,0,0
0,0,0,0,0,1.82178217821782,0,0,1.15,1149.60683760684,353.92349726776
0,0,0,0,15.4621848739496,0,0,0,0,1059.96581196581,569.092896174863
0,0,34.6352941176471,0,3.09243697478992,32.7920792079208,5,0,331.2,0,0
0,0,0,0,34.0168067226891,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,250.051282051282,66.3606557377049
0,0,0,0,0,0,3,0,139.15,0,0
