"OFC","Motor","Rstr","SSctx","Cstr","Amyg","VisIp","VisC","AudC","Thal","Tect"
0,0,0,0,0,0,1.57959183673469,0,151.662162162162,0,0
0,0,0,0,0,0,0,0,60.1418918918919,0,0
0,0,0,0,20.3684210526316,0,0,0,52.2972972972973,0,0
0,0,0,0,165.493421052632,0,0,0,392.22972972973,0,0
0,0,0,0,89.1118421052632,0,0,0,0,377.227272727273,263.058823529412
0,0,0,0,81.4736842105263,0,72.6612244897959,0,31.3783783783784,0,0
0,0,0,0,5.09210526315789,0,0,0,0,297.090909090909,172
0,0,0,0,0,0,0,0,0,349.863636363636,295.941176470588
0,0,0,0,73.8355263157895,0,0,0,0,1174.68181818182,1221.70588235294
1,0,0,0,0,0,0,0,5.22972972972973,1049.59090909091,872.647058823529
0,0,0,0,0,0,0,0,426.222972972973,0,0
0,0,0,0,43.2828947368421,0,0,0,2.61486486486486,478.863636363636,485.647058823529
0,0,0,0,0,0,0,0,0,390.909090909091,450.235294117647
0,0,0,0,0,0,0,0,2.61486486486486,146.590909090909,146.705882352941
0,0,6.11052631578947,1.97448979591837,117.118421052632,5.50236966824645,11.0571428571429,29.4210526315789,980.574324324324,15.6363636363636,0
0,0,6.11052631578947,1.97448979591837,117.118421052632,5.50236966824645,11.0571428571429,29.4210526315789,980.574324324324,15.6363636363636,0
0,0,0,0,0,0,0,0,0,625.454545454545,0
0,0,0,0,20.3684210526316,0,0,0,219.648648648649,0,0
