PFC,ORB,MO,SS,ACA,PTL,VIS,RSC,OLF,vStr,dStr,brain,EC
0,1.794392523,10.19469027,38.67625899,0,33.75824176,17.70212766,8.347826087,46.82926829,6.620689655,1.11627907,one,MEC
0,0,0,0,0,0,0,345.6,1.56097561,0,0,one,MEC
0,0,0,1.381294964,4.860759494,10.54945055,19.06382979,0,1.56097561,1.655172414,0,one,MEC
0,0,0,4.143884892,0,0,19.06382979,20.03478261,4.682926829,0,10.04651163,one,MEC
4.314606742,1.794392523,13.59292035,0,26.73417722,25.31868132,32.68085106,25.04347826,0,1.655172414,23.44186047,one,MEC
0,0,1.699115044,4.143884892,0,0,9.531914894,0,70.24390244,23.17241379,16.74418605,one,MEC
0,1.794392523,5.097345133,11.05035971,9.721518987,37.97802198,46.29787234,28.3826087,4.682926829,0,27.90697674,one,MEC
0,0,0,0,7.291139241,2.10989011,8.170212766,6.67826087,37.46341463,4.965517241,24.55813953,one,MEC
0,1.794392523,0,0,0,10.54945055,141.6170213,40.06956522,0,0,22.3255814,one,MEC
0,0,0,2.762589928,0,0,5.446808511,0,65.56097561,18.20689655,84.8372093,one,MEC
0,0,0,0,0,0,0,8.347826087,0,0,0,one,MEC
0,0,0,0,0,33.75824176,78.9787234,13.35652174,0,0,0,one,MEC
0,0,0,0,0,10.54945055,23.14893617,18.36521739,26.53658537,0,18.97674419,one,MEC
0,0,0,0,0,2.10989011,25.87234043,26.71304348,0,0,25.6744186,one,MEC
0,0,0,2.762589928,0,0,8.170212766,5.008695652,71.80487805,0,27.90697674,one,MEC
0,0,0,0,0,0,0,20.03478261,0,0,21.20930233,one,MEC
0,0,0,0,0,2.10989011,29.95744681,0,3.12195122,0,24.55813953,one,MEC
0,0,0,6.90647482,7.291139241,31.64835165,83.06382979,26.71304348,14.04878049,0,55.81395349,one,MEC
0,0,5.097345133,5.525179856,2.430379747,4.21978022,35.40425532,15.02608696,12.48780488,0,1.11627907,one,MEC
0,0,11.89380531,1.381294964,2.430379747,14.76923077,62.63829787,10.0173913,1.56097561,0,0,one,MEC
0,0,0,0,0,0,21.78723404,1.669565217,7.804878049,0,58.04651163,one,MEC
6.471910112,3.588785047,11.89380531,2.762589928,17.01265823,10.54945055,4.085106383,5.008695652,4.682926829,0,3.348837209,one,MEC
0,0,0,0,0,2.10989011,46.29787234,0,1.56097561,0,48,one,MEC
2.157303371,0,3.398230088,6.90647482,9.721518987,6.32967033,31.31914894,5.008695652,0,0,0,one,MEC
0,0,0,0,0,0,17.70212766,65.11304348,0,0,21.20930233,one,MEC
2.157303371,0,0,2.762589928,4.860759494,0,13.61702128,0,39.02439024,11.5862069,106.0465116,one,MEC
0,0,1.699115044,5.525179856,0,10.54945055,35.40425532,1.669565217,4.682926829,1.655172414,63.62790698,one,MEC
