cluster_index,projecting,region,Effect_Size,p-value
36,0,VIS,-1.5145731728297582,0.0008554776324118561
36,1,RSC,-1.5145731728297582,0.0008554776324118561
37,1,PFC,-1.0,0.012224607655131111
37,0,ORB,-1.0,0.012224607655131111
37,1,MO,-1.0,0.012224607655131111
37,1,SS,-1.0,0.012224607655131111
37,0,ACA,-1.0,0.012224607655131111
37,0,PTL,-1.0,0.012224607655131111
37,0,VIS,-1.0,0.012224607655131111
37,0,RSC,-1.0,0.012224607655131111
38,1,PFC,-0.6214883767462701,0.1097946145919029
38,0,ORB,-0.6214883767462701,0.1097946145919029
38,1,MO,-0.6214883767462701,0.1097946145919029
38,0,SS,-0.6214883767462701,0.1097946145919029
38,1,ACA,-0.6214883767462701,0.1097946145919029
38,0,PTL,-0.6214883767462701,0.1097946145919029
38,0,VIS,-0.6214883767462701,0.1097946145919029
38,0,RSC,-0.6214883767462701,0.1097946145919029
39,1,PFC,-1.15200309344505,0.0060013744347162425
39,0,ORB,-1.15200309344505,0.0060013744347162425
39,1,MO,-1.15200309344505,0.0060013744347162425
39,0,SS,-1.15200309344505,0.0060013744347162425
39,0,ACA,-1.15200309344505,0.0060013744347162425
39,0,PTL,-1.15200309344505,0.0060013744347162425
39,1,VIS,-1.15200309344505,0.0060013744347162425
39,0,RSC,-1.15200309344505,0.0060013744347162425
40,1,PFC,-3.321928094887362,1.5195076416081302e-07
40,0,ORB,-3.321928094887362,1.5195076416081302e-07
40,0,MO,-3.321928094887362,1.5195076416081302e-07
40,1,SS,-3.321928094887362,1.5195076416081302e-07
40,1,ACA,-3.321928094887362,1.5195076416081302e-07
40,0,PTL,-3.321928094887362,1.5195076416081302e-07
40,0,VIS,-3.321928094887362,1.5195076416081302e-07
40,0,RSC,-3.321928094887362,1.5195076416081302e-07
41,1,PFC,-2.736965594166206,1.2026239729890036e-06
41,0,ORB,-2.736965594166206,1.2026239729890036e-06
41,0,MO,-2.736965594166206,1.2026239729890036e-06
41,1,SS,-2.736965594166206,1.2026239729890036e-06
41,0,ACA,-2.736965594166206,1.2026239729890036e-06
41,1,PTL,-2.736965594166206,1.2026239729890036e-06
41,0,VIS,-2.736965594166206,1.2026239729890036e-06
41,0,RSC,-2.736965594166206,1.2026239729890036e-06
42,1,PFC,-0.3219280948873623,0.36323486573728203
42,0,ORB,-0.3219280948873623,0.36323486573728203
42,0,MO,-0.3219280948873623,0.36323486573728203
42,1,SS,-0.3219280948873623,0.36323486573728203
42,0,ACA,-0.3219280948873623,0.36323486573728203
42,0,PTL,-0.3219280948873623,0.36323486573728203
42,1,VIS,-0.3219280948873623,0.36323486573728203
42,0,RSC,-0.3219280948873623,0.36323486573728203
43,1,PFC,-1.0,0.012224607655131111
43,0,ORB,-1.0,0.012224607655131111
43,0,MO,-1.0,0.012224607655131111
43,0,SS,-1.0,0.012224607655131111
43,1,ACA,-1.0,0.012224607655131111
43,0,PTL,-1.0,0.012224607655131111
43,1,VIS,-1.0,0.012224607655131111
43,0,RSC,-1.0,0.012224607655131111
44,1,PFC,-2.0,5.4152910397594726e-05
44,0,ORB,-2.0,5.4152910397594726e-05
44,0,MO,-2.0,5.4152910397594726e-05
44,0,SS,-2.0,5.4152910397594726e-05
44,0,ACA,-2.0,5.4152910397594726e-05
44,1,PTL,-2.0,5.4152910397594726e-05
44,1,VIS,-2.0,5.4152910397594726e-05
44,0,RSC,-2.0,5.4152910397594726e-05
45,1,PFC,-2.0,5.4152910397594726e-05
45,0,ORB,-2.0,5.4152910397594726e-05
45,0,MO,-2.0,5.4152910397594726e-05
45,0,SS,-2.0,5.4152910397594726e-05
45,0,ACA,-2.0,5.4152910397594726e-05
45,0,PTL,-2.0,5.4152910397594726e-05
45,1,VIS,-2.0,5.4152910397594726e-05
45,1,RSC,-2.0,5.4152910397594726e-05
46,0,PFC,0.43295940727610627,0.1387438805134805
46,1,ORB,0.43295940727610627,0.1387438805134805
46,1,MO,0.43295940727610627,0.1387438805134805
46,1,SS,0.43295940727610627,0.1387438805134805
46,0,ACA,0.43295940727610627,0.1387438805134805
46,0,PTL,0.43295940727610627,0.1387438805134805
46,0,VIS,0.43295940727610627,0.1387438805134805
46,0,RSC,0.43295940727610627,0.1387438805134805
47,0,PFC,-2.321928094887362,1.0947970474347087e-05
47,1,ORB,-2.321928094887362,1.0947970474347087e-05
47,1,MO,-2.321928094887362,1.0947970474347087e-05
47,0,SS,-2.321928094887362,1.0947970474347087e-05
47,1,ACA,-2.321928094887362,1.0947970474347087e-05
47,0,PTL,-2.321928094887362,1.0947970474347087e-05
